;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32347;20;205130;2021-05-02 10:37:33;0.0;239;22.325695;114.187057;POINT (837317.0641873404 820741.0998465199);-40.0;25.718264487820072;78;837317.0641873404;820741.0998465199;38253;16.0
32348;20;205130;2021-05-02 10:37:48;0.0;239;22.325698;114.187057;POINT (837317.0641648155 820741.432050823);0.0;0.3322043038857734;78;837317.0641648155;820741.432050823;38268;15.0
32349;20;205130;2021-05-02 10:38:03;0.0;239;22.325698;114.187057;POINT (837317.0641648155 820741.432050823);0.0;0.0;78;837317.0641648155;820741.432050823;38283;15.0
32350;20;205130;2021-05-02 10:38:18;20.0;241;22.325654;114.186973;POINT (837308.4104125127 820736.559136668);20.0;9.93140077126594;78;837308.4104125127;820736.559136668;38298;15.0
32351;20;205130;2021-05-02 10:38:33;66.0;244;22.324615;114.185142;POINT (837119.7783557755 820621.4941806303);46.0;220.95700246169972;78;837119.7783557755;820621.4941806303;38313;15.0
32352;20;205130;2021-05-02 10:38:48;70.0;244;22.323467;114.182472;POINT (836844.7048758991 820494.3579700008);4.0;303.0330598870856;78;836844.7048758991;820494.3579700008;38328;15.0
32353;20;205130;2021-05-02 10:39:03;78.0;244;22.322271;114.179786;POINT (836567.9785642007 820361.9113481776);8.0;306.78911196229006;78;836567.9785642007;820361.9113481776;38343;15.0
32354;20;205130;2021-05-02 10:39:18;63.0;246;22.321159;114.177444;POINT (836326.6891833773 820238.771492611);-15.0;270.8947938353197;78;836326.6891833773;820238.771492611;38358;15.0
32355;20;205130;2021-05-02 10:39:33;31.0;253;22.320343;114.175224;POINT (836097.9658548658 820148.4127298287);-32.0;245.92492150432983;78;836097.9658548658;820148.4127298287;38373;15.0
32356;20;205130;2021-05-02 10:39:48;0.0;237;22.320304;114.175193;POINT (836094.7719185427 820144.0941110954);-31.0;5.371377570066197;78;836094.7719185427;820144.0941110954;38388;15.0
32357;20;205130;2021-05-02 10:40:03;41.0;258;22.320129;114.17443;POINT (836016.1606963334 820124.7165917697);41.0;80.96426688642792;78;836016.1606963334;820124.7165917697;38403;15.0
32358;20;205130;2021-05-02 10:40:18;10.0;256;22.320077;114.173553;POINT (835925.8042704673 820118.9600879964);-31.0;90.53961028739911;78;835925.8042704673;820118.9600879964;38418;15.0
32359;20;205130;2021-05-02 10:40:33;27.0;262;22.319868;114.172538;POINT (835821.2292911645 820095.8191613441);17.0;107.10475611517496;78;835821.2292911645;820095.8191613441;38433;15.0
32360;20;205130;2021-05-02 10:40:48;39.0;261;22.319637;114.170997;POINT (835662.4605497363 820070.2447766557);12.0;160.81530526323394;78;835662.4605497363;820070.2447766557;38448;15.0
32361;20;205130;2021-05-02 10:41:03;0.0;252;22.319423;114.170349;POINT (835595.6966030408 820046.5502790881);-39.0;70.84386913021324;78;835595.6966030408;820046.5502790881;38463;15.0
32362;20;205130;2021-05-02 10:41:18;0.0;140;22.31948;114.170402;POINT (835601.1574284908 820052.8619223825);0.0;8.346104221217852;78;835601.1574284908;820052.8619223825;38478;15.0
32363;20;205130;2021-05-02 10:41:33;1.0;187;22.319467;114.170402;POINT (835601.1573671512 820051.4223715012);1.0;1.4395508825808911;78;835601.1573671512;820051.4223715012;38493;15.0
32364;20;205130;2021-05-02 10:41:49;0.0;352;22.319509;114.170379;POINT (835598.7878913116 820056.0733293508);-1.0;5.21975331536421;78;835598.7878913116;820056.0733293508;38509;16.0
32365;20;205130;2021-05-02 10:42:04;2.0;182;22.319505;114.170364;POINT (835597.2424327551 820055.6304567776);2.0;1.607662360671348;78;835597.2424327551;820055.6304567776;38524;15.0
32366;20;205130;2021-05-02 10:42:19;31.0;262;22.319519;114.169868;POINT (835546.1399676031 820057.1830166518);29.0;51.12604411419436;78;835546.1399676031;820057.1830166518;38539;15.0
32367;20;205130;2021-05-02 10:42:34;35.0;246;22.319208;114.168479;POINT (835403.0303666131 820022.7517935655);4.0;147.1932981448519;78;835403.0303666131;820022.7517935655;38554;15.0
32368;20;205130;2021-05-02 10:42:49;0.0;169;22.318626;114.168266;POINT (835381.081419037 819958.3054423898);-35.0;68.08148411686896;78;835381.081419037;819958.3054423898;38569;15.0
32369;20;205130;2021-05-02 10:43:04;0.0;169;22.318655;114.168243;POINT (835378.7119128925 819961.516882583);0.0;3.9909782614307416;78;835378.7119128925;819961.516882583;38584;15.0
32370;20;205130;2021-05-02 10:43:19;23.0;155;22.318313;114.168418;POINT (835396.7400393864 819923.6446096293);23.0;41.94427736370095;78;835396.7400393864;819923.6446096293;38599;15.0
32371;20;205130;2021-05-02 10:43:34;43.0;155;22.316215;114.168914;POINT (835447.8308209551 819691.3205415196);20.0;237.87547285156407;78;835447.8308209551;819691.3205415196;38614;15.0
32372;20;205130;2021-05-02 10:43:49;0.0;172;22.315536;114.168952;POINT (835451.742100696 819616.131519798);-43.0;75.29068399650981;78;835451.742100696;819616.131519798;38629;15.0
32373;20;205130;2021-05-02 10:44:04;33.0;173;22.314735;114.169067;POINT (835463.5862428185 819527.4324715652);33.0;89.48633895749239;78;835463.5862428185;819527.4324715652;38644;15.0
32374;20;205130;2021-05-02 10:44:19;14.0;80;22.314306;114.169677;POINT (835526.4340043601 819479.9242150452);-19.0;78.78372654529137;78;835526.4340043601;819479.9242150452;38659;15.0
32375;20;205130;2021-05-02 10:44:34;1.0;71;22.314413;114.169738;POINT (835532.7195817704 819491.7725220576);-13.0;13.412339931639313;78;835532.7195817704;819491.7725220576;38674;15.0
32376;20;205130;2021-05-02 10:44:49;0.0;71;22.314474;114.169738;POINT (835532.7198992394 819498.5273335616);-1.0;6.754811511384784;78;835532.7198992394;819498.5273335616;38689;15.0
