t,id,speed,trjid_u,trjid_n
38400.0,_13440001616792200,47.34845573114401,['78'],1
38400.0,_13440002103376200,31.918546750271997,['78'],1
38400.0,_13440003327520200,0.0,['78'],1
38400.0,_13440003338452300,5.0,['78'],1
38400.0,_13440003371199200,14.537179152288003,['78'],1
38700.0,_13440001145298201,7.218812483600001,['78'],1
38700.0,_13440001145298202,50.0,['78'],1
38700.0,_13440001145298203,33.375718501888,['78'],1
38700.0,_13440001149768200,34.0,['78'],1
38700.0,_13440001158826200,18.0,['78'],1
38700.0,_13440001176976201,42.0,['78'],1
38700.0,_13440001176976202,30.494497693692004,['78'],1
38700.0,_13440001280007200,4.4,['78'],1
38700.0,_13440001357105200,34.779256418961,['78'],1
38700.0,_13440001357108200,34.779256418961,['78'],1
38700.0,_13440001361229200,7.218812483600001,['78'],1
38700.0,_13440001364722200,34.779256418961,['78'],1
38700.0,_13440001364723200,34.779256418961,['78'],1
38700.0,_13440001379147200,34.779256418961,['78'],1
38700.0,_13440001379150200,28.0,['78'],1
38700.0,_13440001408630200,34.779256418961,['78'],1
38700.0,_13440001408632201,45.0,['78'],1
38700.0,_13440001408632202,18.64677169824,['78'],1
38700.0,_13440001408632203,45.0,['78'],1
38700.0,_13440001480139200,33.375718501888,['78'],1
38700.0,_13440001502820200,40.39662129948,['78'],1
38700.0,_13440001509392300,15.333333333333334,['78'],1
38700.0,_13440001609660201,40.39662129948,['78'],1
38700.0,_13440001609660202,40.39662129948,['78'],1
38700.0,_13440002151620201,8.310354790240002,['78'],1
38700.0,_13440002151620202,8.310354790240002,['78'],1
38700.0,_13440003324817200,1.224470807928,['78'],1
38700.0,_13440003338452300,0.0,['78'],1
38700.0,_13440003342517200,9.0,['78'],1
38700.0,_13440003343044200,7.0,['78'],1
38700.0,_13440003369257201,0.0,['78'],1
38700.0,_13440003370064200,30.494497693692004,['78'],1
39000.0,_13440001195915200,15.925788137878799,['78'],1
39000.0,_13440001285209201,9.5,['78'],1
39000.0,_13440001285209202,31.0,['78'],1
39000.0,_13440001288112201,52.0,['78'],1
39000.0,_13440001288112202,33.117349818850805,['78'],1
39000.0,_13440001310994200,54.1062348032928,['78'],1
39000.0,_13440001348447201,54.1062348032928,['78'],1
39000.0,_13440001348447202,54.1062348032928,['78'],1
39000.0,_13440001348459201,32.743912337615996,['78'],1
39000.0,_13440001348459202,32.743912337615996,['78'],1
39000.0,_13440001348461201,53.0,['78'],1
39000.0,_13440001348461202,54.1062348032928,['78'],1
39000.0,_13440001358352200,40.8967912749576,['78'],1
39000.0,_13440001370661200,41.0,['78'],1
39000.0,_13440001370663200,13.179299790888003,['78'],1
39000.0,_13440001376166201,56.860236154776,['78'],1
39000.0,_13440001376166202,56.860236154776,['78'],1
39000.0,_13440001383772200,32.934290265156,['78'],1
39000.0,_13440001388204200,40.8967912749576,['78'],1
39000.0,_13440001425996200,15.925788137878799,['78'],1
39000.0,_13440001466277201,28.629354480504,['78'],1
39000.0,_13440001466277202,57.0,['78'],1
39000.0,_13440001517112201,42.386312573855996,['78'],1
39000.0,_13440001517112202,42.386312573855996,['78'],1
39000.0,_13440001517152201,39.0,['78'],1
39000.0,_13440001517152202,15.228966854834999,['78'],1
39000.0,_13440001518093200,60.029517129359995,['78'],1
39000.0,_13440001622592201,56.860236154776,['78'],1
39000.0,_13440001622592202,64.0,['78'],1
39000.0,_13440001716339200,60.029517129359995,['78'],1
39000.0,_13440001747981200,9.922085600184,['78'],1
39000.0,_13440002105424200,40.8967912749576,['78'],1
39000.0,_13440002110048200,9.922085600184,['78'],1
39000.0,_13440002165880200,56.0,['78'],1
39000.0,_13440002194223200,33.96121616162401,['78'],1
39000.0,_13440002206069201,69.0,['78'],1
39000.0,_13440002206069202,42.386312573855996,['78'],1
39000.0,_13440003313424200,40.8967912749576,['78'],1
39000.0,_13440003313496200,32.934290265156,['78'],1
39000.0,_13440003313885200,33.96121616162401,['78'],1
39000.0,_13440003315656200,40.8967912749576,['78'],1
39000.0,_13440003316311201,32.934290265156,['78'],1
39000.0,_13440003316311202,27.5,['78'],1
39000.0,_13440003316994200,62.0,['78'],1
39000.0,_13440003318811200,33.117349818850805,['78'],1
39000.0,_13440003318997200,54.1062348032928,['78'],1
39000.0,_13440003319850200,54.0,['78'],1
39000.0,_13440003322602200,42.0,['78'],1
39000.0,_13440003330933200,6.547527319368,['78'],1
39000.0,_13440003331039201,28.0,['78'],1
39000.0,_13440003331039202,0.0,['78'],1
39000.0,_13440003332507200,6.547527319368,['78'],1
39000.0,_13440003336241200,40.8967912749576,['78'],1
39000.0,_13440003337879200,60.029517129359995,['78'],1
39000.0,_13440003338084200,60.029517129359995,['78'],1
39000.0,_13440003351042200,15.925788137878799,['78'],1
39000.0,_13440003369257201,0.0,['78'],1
39000.0,_13440003369257202,29.0,['78'],1
39000.0,_13440003369257203,28.629354480504,['78'],1
39300.0,_13440001137197200,39.0,['78'],1
39300.0,_13440001283692200,31.702968436752002,['78'],1
39300.0,_13440001305725200,8.5,['78'],1
